Date,Open,High,Low,Close,Volume,NASDAQ
2021-02-22,57532.73828,57533.39063,48967.56641,54207.32031,92052420332.0,13533.0498
2021-02-23,54204.92969,54204.92969,45290.58984,48824.42578,106000000000.0,13465.2002
2021-02-24,48835.08594,51290.13672,47213.5,49705.33203,63695521388.0,13597.96973
2021-02-25,49709.08203,51948.96875,47093.85156,47093.85156,54506565949.0,13119.42969
2021-02-26,47180.46484,48370.78516,44454.84375,46339.76172,351000000000.0,13192.34961
2021-02-27,46344.77344,48253.26953,45269.02734,46188.45313,45910946382.0,13192.34961
2021-02-28,46194.01563,46716.42969,43241.61719,45137.76953,53443887451.0,13192.34961
2021-03-01,45159.50391,49784.01563,45115.09375,49631.24219,53891300112.0,13588.83008
2021-03-02,49612.10547,50127.51172,47228.84375,48378.98828,47530897720.0,13358.79004
2021-03-03,48415.81641,52535.13672,48274.32031,50538.24219,53220811975.0,12997.75
2021-03-04,50522.30469,51735.08984,47656.92969,48561.16797,52343816680.0,12723.46973
2021-03-05,48527.03125,49396.42969,46542.51563,48927.30469,48625928883.0,12920.15039
2021-03-06,48899.23047,49147.21875,47257.52734,48912.38281,34363564661.0,12920.15039
2021-03-07,48918.67969,51384.36719,48918.67969,51206.69141,43137459378.0,12920.15039
2021-03-08,51174.11719,52314.07031,49506.05469,52246.52344,48597428048.0,12609.16016
2021-03-09,52272.96875,54824.11719,51981.83203,54824.11719,50912227385.0,13073.82031
2021-03-10,54824.01172,57258.25391,53290.89063,56008.55078,57295577614.0,13068.83008
2021-03-11,55963.17969,58091.0625,54484.59375,57805.12109,56772343595.0,13398.66992
2021-03-12,57821.21875,57996.62109,55376.64844,57332.08984,55689944702.0,13319.86035
2021-03-13,57343.37109,61683.86328,56217.97266,61243.08594,60669829814.0,13319.86035
2021-03-14,61221.13281,61597.91797,59302.31641,59302.31641,43901225564.0,13319.86035
2021-03-15,59267.42969,60540.99219,55393.16406,55907.19922,66419369890.0,13459.70996
2021-03-16,55840.78516,56833.17969,53555.02734,56804.90234,59749798599.0,13471.57031
2021-03-17,56825.82813,58969.81641,54528.62891,58870.89453,60258313191.0,13525.2002
2021-03-18,58893.07813,60116.25,54253.57813,57858.92188,55746041000.0,13116.16992
2021-03-19,57850.44141,59498.375,56643.70313,58346.65234,49063873786.0,13215.24023
2021-03-20,58332.26172,60031.28516,58213.29688,58313.64453,50361731222.0,13215.24023
2021-03-21,58309.91406,58767.89844,56005.61719,57523.42188,51943414539.0,13215.24023
2021-03-22,57517.89063,58471.48047,54288.15625,54529.14453,56521454974.0,13377.54004
2021-03-23,54511.66016,55985.44141,53470.69531,54738.94531,56435023914.0,13227.7002
2021-03-24,54710.48828,57262.38281,52514.33203,52774.26563,70567223787.0,12961.88965
2021-03-25,52726.74609,53392.38672,50856.57031,51704.16016,67999812841.0,12977.67969
2021-03-26,51683.01172,55137.3125,51579.85547,55137.3125,56652197978.0,13138.73047
2021-03-27,55137.56641,56568.21484,54242.91016,55973.51172,47266542233.0,13138.73047
2021-03-28,55974.94141,56610.3125,55071.11328,55950.74609,47686580918.0,13138.73047
2021-03-29,55947.89844,58342.09766,55139.33984,57750.19922,57625587027.0,13059.65039
2021-03-30,57750.13281,59447.22266,57251.55078,58917.69141,54414116432.0,13045.38965
2021-03-31,58930.27734,59930.02734,57726.41797,58918.83203,65520826225.0,13246.87012
2021-04-01,58926.5625,59586.07031,58505.27734,59095.80859,61669163792.0,13480.11035
2021-04-02,59098.87891,60267.1875,58869.28125,59384.3125,58727860620.0,13480.11035
2021-04-03,59397.41016,60110.26953,57603.89063,57603.89063,59641344484.0,13480.11035
2021-04-04,57604.83984,58913.74609,57168.67578,58758.55469,50749662970.0,13480.11035
2021-04-05,58760.875,59891.29688,57694.82422,59057.87891,60706272115.0,13705.58984
2021-04-06,59171.93359,59479.57813,57646.80859,58192.35938,66058027988.0,13698.37988
2021-04-07,58186.50781,58731.14453,55604.02344,56048.9375,75645303584.0,13688.83984
2021-04-08,56099.91406,58338.73828,55879.08594,58323.95313,53053855641.0,13829.30957
2021-04-09,58326.5625,58937.04688,57807.86328,58245.00391,46655208546.0,13900.19043
2021-04-10,58253.77734,61276.66406,58038.70703,59793.23438,58238470525.0,13900.19043
2021-04-11,59846.23047,60790.55469,59289.79688,60204.96484,46280252580.0,13900.19043
2021-04-12,60175.94531,61253.03516,59589.875,59893.45313,51828688519.0,13850.0
2021-04-13,59890.01953,63742.28516,59869.95703,63503.45703,69983454362.0,13996.09961
2021-04-14,63523.75391,64863.09766,61554.79688,63109.69531,77451779687.0,13857.83984
2021-04-15,63075.19531,63821.67188,62208.96484,63314.01172,60954381579.0,14038.75977
2021-04-16,63258.50391,63594.72266,60222.53125,61572.78906,84293007468.0,14052.33984
2021-04-17,61529.92188,62572.17578,60361.35156,60683.82031,66138759198.0,14052.33984
2021-04-18,60701.88672,61057.45703,52829.53516,56216.18359,97468872758.0,14052.33984
